colectivo_amba,subte_amba,tren_amba,anio,mes,dia_semana
1985088,135510,313285,2021,9,5
311166,279,17590,2021,9,6
2798821,234512,498055,2021,9,0
3020387,250501,519199,2021,9,1
3059614,255646,508419,2021,9,2
3038162,259502,526721,2021,9,3
3135432,273867,552516,2021,9,4
2086700,149333,335921,2021,9,5
1182535,80625,139294,2021,9,6
2906699,248709,504927,2021,9,0
2836806,269642,531132,2021,9,1
2978268,259683,509683,2021,9,2
3017260,267251,524849,2021,9,3
3131997,280384,561702,2021,9,4
2070801,146869,330630,2021,9,5
1253306,85774,155026,2021,9,6
2846540,245803,512077,2021,9,0
2938140,261882,518329,2021,9,1
3060345,269171,548633,2021,9,2
2699220,262088,487569,2021,9,3
3197223,289493,575658,2021,10,4
1943077,145504,310660,2021,10,5
1207603,86137,142826,2021,10,6
3072907,269127,558675,2021,10,0
3191969,290767,578180,2021,10,1
3199105,298100,586746,2021,10,2
2995661,319955,601982,2021,10,3
1836546,143453,316861,2021,10,4
2037807,164637,353924,2021,10,5
1213935,99841,152226,2021,10,6
1182277,88025,178561,2021,10,0
3133836,292410,581335,2021,10,1
3085579,294221,562338,2021,10,2
3193473,316869,571976,2021,10,3
3341481,315842,609363,2021,10,4
2271740,174811,381776,2021,10,5
1290661,103287,167234,2021,10,6
3067714,309959,578936,2021,10,0
3195317,298746,572145,2021,10,1
3222705,307427,587334,2021,10,2
3224327,310240,582415,2021,10,3
3188117,310427,582535,2021,10,4
2090023,173477,335541,2021,10,5
1308212,97394,163818,2021,10,6
3134050,291946,581429,2021,10,0
3186061,307927,583674,2021,10,1
3164089,304129,576433,2021,10,2
3134863,317026,575518,2021,10,3
3272746,314795,574042,2021,10,4
2166837,144552,350424,2021,10,5
1230387,89666,145382,2021,10,6
3108937,300682,564622,2021,11,0
3054593,309844,562253,2021,11,1
3215206,322172,587876,2021,11,2
3285970,337550,606210,2021,11,3
3386772,338891,631151,2021,11,4
2306066,239353,407171,2021,11,5
1362079,103695,171283,2021,11,6
3221945,317154,613841,2021,11,0
3316513,327114,619227,2021,11,1
3374396,335651,630911,2021,11,2
3366510,341669,615916,2021,11,3
3427524,340139,644585,2021,11,4
2170521,178100,383203,2021,11,5
261730,141,16687,2021,11,6
3179227,313036,611303,2021,11,0
3173606,318363,589240,2021,11,1
3366243,362093,633242,2021,11,2
3372840,348574,617438,2021,11,3
3410738,346136,650474,2021,11,4
2026169,189633,354604,2021,11,5
1269337,104218,165475,2021,11,6
1252170,99342,190830,2021,11,0
3296114,363670,644467,2021,11,1
3297802,341655,622039,2021,11,2
3007181,343658,570366,2021,11,3
3397048,353412,648045,2021,11,4
2175404,186463,373351,2021,11,5
871544,70892,103653,2021,11,6
3133975,320101,611147,2021,11,0
3278396,337104,630517,2021,11,1
3285222,347977,640815,2021,12,2
3265378,366887,641601,2021,12,3
3354233,360945,658302,2021,12,4
2272213,235557,400575,2021,12,5
1238443,107096,155927,2021,12,6
3219478,353028,654207,2021,12,0
3358129,394944,692440,2021,12,1
1665175,140925,264630,2021,12,2
3272338,386583,673632,2021,12,3
2603646,399482,435984,2021,12,4
2306986,228419,348068,2021,12,5
1251743,100681,114597,2021,12,6
3152308,358347,644883,2021,12,0
3169922,362964,641997,2021,12,1
3204719,372564,633922,2021,12,2
3244152,377961,599097,2021,12,3
3316766,385809,656780,2021,12,4
2423120,236920,422703,2021,12,5
1440483,129005,176697,2021,12,6
3081919,406706,683329,2021,12,0
3129077,377931,659869,2021,12,1
3161484,372186,646002,2021,12,2
3041656,340131,615424,2021,12,3
1819351,144439,306605,2021,12,4
643175,48631,72901,2021,12,5
1027551,84295,124266,2021,12,6
2515119,274014,539471,2021,12,0
2552150,275212,521754,2021,12,1
2536911,262208,519144,2021,12,2
2491268,250374,498958,2021,12,3
1522696,113829,250346,2021,12,4
522889,38801,58537,2022,1,5
942574,74607,106866,2022,1,6
2160485,221727,446357,2022,1,0
2218573,224616,455950,2022,1,1
2329711,235145,459578,2022,1,2
2245517,226395,428306,2022,1,3
2270648,223874,437205,2022,1,4
1626893,130171,247946,2022,1,5
952704,72929,106921,2022,1,6
2113187,212181,382910,2022,1,0
2001694,195432,338196,2022,1,1
2098615,210150,374519,2022,1,2
2040581,204951,348202,2022,1,3
2009053,196317,337281,2022,1,4
1386659,112093,187011,2022,1,5
845570,66025,76546,2022,1,6
2122092,216389,385542,2022,1,0
2076670,220233,388057,2022,1,1
2167976,228972,387374,2022,1,2
2177179,225751,374672,2022,1,3
2248595,231507,407402,2022,1,4
1501404,129899,221258,2022,1,5
973066,77819,98771,2022,1,6
2281862,237464,432757,2022,1,0
2176286,233578,431662,2022,1,1
2260028,243888,446315,2022,1,2
2404682,261051,470429,2022,1,3
2487011,241483,490760,2022,1,4
1811860,159658,303188,2022,1,5
1113055,92842,138938,2022,1,6
2389245,255883,486553,2022,1,0
2485394,287339,516602,2022,2,1
2493840,282464,510480,2022,2,2
2290348,272769,446533,2022,2,3
2675067,294881,536439,2022,2,4
1867127,169009,301384,2022,2,5
1161922,100627,149915,2022,2,6
2622334,296678,539180,2022,2,0
2679198,342557,581267,2022,2,1
2695787,310952,568399,2022,2,2
2704192,318125,559753,2022,2,3
2657225,308291,549679,2022,2,4
1971029,183390,326518,2022,2,5
1241482,109715,155811,2022,2,6
2792317,317198,584524,2022,2,0
2755992,340765,590614,2022,2,1
2742422,322572,479018,2022,2,2
2790013,331928,565110,2022,2,3
2880509,334942,595886,2022,2,4
2026977,186145,340945,2022,2,5
1001087,87447,119234,2022,2,6
2824765,323734,589012,2022,2,0
2859775,332657,587194,2022,2,1
2888638,342456,591517,2022,2,2
2561243,322869,512747,2022,2,3
3021025,353127,623319,2022,2,4
1912527,177220,320780,2022,2,5
950261,91095,109583,2022,2,6
1444271,133870,232312,2022,2,0
1457791,130380,237570,2022,3,1
3214546,344290,603647,2022,3,2
3254245,366979,609144,2022,3,3
3285846,364272,616865,2022,3,4
2049791,188822,338140,2022,3,5
1284813,117501,162184,2022,3,6
3204675,350903,591638,2022,3,0
3277098,433998,543399,2022,3,1
2897064,358191,546141,2022,3,2
3488975,430246,671498,2022,3,3
3522830,394713,666319,2022,3,4
2268369,220117,406655,2022,3,5
1369988,127427,182973,2022,3,6
3448037,397017,660070,2022,3,0
3456773,440855,678806,2022,3,1
3523117,463740,692245,2022,3,2
3506526,450774,678945,2022,3,3
3246651,421887,652693,2022,3,4
2302147,229756,428941,2022,3,5
1343919,127797,189328,2022,3,6
3479509,422604,680270,2022,3,0
3524475,445258,685935,2022,3,1
3627447,460119,707640,2022,3,2
1387930,228911,258882,2022,3,3
3325684,428442,659796,2022,3,4
2197253,225618,407064,2022,3,5
1364054,130339,179117,2022,3,6
3593437,438293,709710,2022,3,0
3440805,399417,337520,2022,3,1
3613260,483385,727189,2022,3,2
3608683,513033,737150,2022,3,3
3684201,485441,735200,2022,4,4
1993329,215650,343350,2022,4,5
1297500,122284,175796,2022,4,6
3637911,458049,722393,2022,4,0
3750720,477807,740879,2022,4,1
3756946,486527,749976,2022,4,2
